reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS04325,MIDG2331_00885,,serine/threonine transporter,+,964006,965235
MIDG2331_RS04330,MIDG2331_00886,,L-serine ammonia-lyase,+,965331,966710
MIDG2331_RS04335,MIDG2331_00887,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmC2/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC1,-,966889,968892
MIDG2331_RS04340,MIDG2331_00888,trpCF,bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF,-,969108,970517
MIDG2331_RS04345,MIDG2331_00889,,Fic family protein,+,970671,971360
MIDG2331_RS04350,MIDG2331_00890,,YqcC family protein,+,971368,971679
MIDG2331_RS04355,MIDG2331_00891,truC,tRNA pseudouridine(65) synthase TruC,+,971680,972423
MIDG2331_RS04360,MIDG2331_00893,,hypothetical protein,+,972586,973038
MIDG2331_RS04365,MIDG2331_00894,,CYTH domain-containing protein,-,973082,973921
MIDG2331_RS04370,MIDG2331_00895,,YcjX family GTP-binding protein,+,973989,975398
MIDG2331_RS04375,MIDG2331_00896,smpB,SsrA-binding protein SmpB,+,975532,976011
MIDG2331_RS04380,MIDG2331_00897,serS,serine--tRNA ligase,+,976129,977436
MIDG2331_RS04385,MIDG2331_00898,,M20 family metallo-hydrolase,-,977507,978775
MIDG2331_RS04390,MIDG2331_00899,dcuC,C4-dicarboxylate transporter DcuC,-,978869,980161
MIDG2331_RS04395,MIDG2331_00900,pepE,dipeptidase PepE,-,980172,980876
MIDG2331_RS04400,MIDG2331_00901,leuS,leucine--tRNA ligase,+,981127,983712
MIDG2331_RS04405,MIDG2331_00902,,LPS-assembly lipoprotein LptE,+,983812,984306
MIDG2331_RS04410,MIDG2331_00903,holA,DNA polymerase III subunit delta,+,984415,985440
MIDG2331_RS04415,MIDG2331_00904,yacG,DNA gyrase inhibitor YacG,-,985517,985705
MIDG2331_RS04420,MIDG2331_00905,coaE,dephospho-CoA kinase,-,985687,986325
MIDG2331_RS04425,MIDG2331_00906,,prepilin peptidase,-,986347,986985
MIDG2331_RS04430,MIDG2331_00907,,type II secretion system F family protein,-,987012,988214
MIDG2331_RS04435,MIDG2331_00908,,GspE/PulE family protein,-,988198,989592
MIDG2331_RS04440,MIDG2331_00909,,prepilin-type N-terminal cleavage/methylation domain-containing protein,-,989610,990056
MIDG2331_RS04445,MIDG2331_00910,radA,DNA repair protein RadA,+,990238,991617
MIDG2331_RS04450,MIDG2331_00911,,YgjV family protein,-,991661,991894
MIDG2331_RS04455,MIDG2331_00912,folA,type 3 dihydrofolate reductase,-,992021,992509
MIDG2331_RS04460,MIDG2331_00913,proB,glutamate 5-kinase,+,992596,993687
MIDG2331_RS04465,MIDG2331_00914,,TSUP family transporter,+,993700,994476
MIDG2331_RS04470,MIDG2331_00915,nth,endonuclease III,+,994477,995109
MIDG2331_RS04475,MIDG2331_00916,,acetyl-CoA C-acyltransferase,+,995319,996623
MIDG2331_RS04480,MIDG2331_00917,,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,+,996633,998750
MIDG2331_RS04485,MIDG2331_00918,,YdgA family protein,+,998841,1000256
MIDG2331_RS04490,MIDG2331_00919,,AEC family transporter,-,1000339,1001271
MIDG2331_RS04495,MIDG2331_00920,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,-,1001273,1002079
MIDG2331_RS04505,MIDG2331_00923,fdnG,formate dehydrogenase-N subunit alpha,+,1002498,1005557
MIDG2331_RS04510,MIDG2331_00924,fdxH,formate dehydrogenase subunit beta,+,1005557,1006456
MIDG2331_RS04515,MIDG2331_00925,,formate dehydrogenase subunit gamma,+,1006449,1007120
MIDG2331_RS04520,MIDG2331_00926,fdhE,formate dehydrogenase accessory protein FdhE,+,1007230,1008147
MIDG2331_RS04535,MIDG2331_00929,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,+,1008751,1009608
MIDG2331_RS04540,MIDG2331_00930,,L-lactate MFS transporter,+,1009753,1011291
MIDG2331_RS04545,MIDG2331_00931,dapA,4-hydroxy-tetrahydrodipicolinate synthase,-,1011389,1012282
MIDG2331_RS04550,MIDG2331_00932,,Kdo(2)-lipid IV(A) acyltransferase,-,1012435,1013376
MIDG2331_RS04555,MIDG2331_00933,hpf,"ribosome hibernation-promoting factor, HPF/YfiA family",+,1013541,1013855
MIDG2331_RS04560,MIDG2331_00934,truA,tRNA pseudouridine(38-40) synthase TruA,-,1013913,1014701
MIDG2331_RS04565,MIDG2331_00935,folE,GTP cyclohydrolase I FolE,-,1014780,1015436
MIDG2331_RS04570,MIDG2331_00936,,3-deoxy-D-manno-octulosonic acid kinase,+,1015537,1016241
MIDG2331_RS04575,MIDG2331_00937,,cyclophilin-like fold protein,-,1016320,1016658
MIDG2331_RS04580,MIDG2331_00938,,sugar O-acetyltransferase,-,1016717,1017292
MIDG2331_RS04585,MIDG2331_00939,,alpha/beta hydrolase,-,1017377,1018519
MIDG2331_RS04590,MIDG2331_00940,,LysR family transcriptional regulator,+,1018678,1019562
MIDG2331_RS04595,MIDG2331_00941,,MetQ/NlpA family ABC transporter substrate-binding protein,-,1019616,1020434
MIDG2331_RS04600,MIDG2331_00942,,MetQ/NlpA family lipoprotein,-,1020547,1021368
MIDG2331_RS04605,MIDG2331_00943,,methionine ABC transporter permease,-,1021394,1022071
MIDG2331_RS04610,MIDG2331_00944,metN,methionine ABC transporter ATP-binding protein MetN,-,1022061,1023095
MIDG2331_RS04615,MIDG2331_00945,cysS,cysteine--tRNA ligase,-,1023293,1024672
MIDG2331_RS04620,MIDG2331_00946,,peptidylprolyl isomerase,+,1024817,1025326
MIDG2331_RS04625,MIDG2331_00947,,multifunctional CCA addition/repair protein,+,1025430,1026665
MIDG2331_RS04640,MIDG2331_00950,,TonB-dependent receptor,-,1028116,1030488
MIDG2331_RS04645,MIDG2331_00951,,membrane protein,+,1030650,1031906
MIDG2331_RS04650,MIDG2331_00952,,surface lipoprotein assembly modifier,+,1031963,1033378
MIDG2331_RS04655,MIDG2331_00953,iscX,Fe-S cluster assembly protein IscX,-,1034396,1034590
MIDG2331_RS04660,MIDG2331_00954,fdx,ISC system 2Fe-2S type ferredoxin,-,1034590,1034931
MIDG2331_RS04665,MIDG2331_00955,hscA,Fe-S protein assembly chaperone HscA,-,1035052,1036905
MIDG2331_RS04670,MIDG2331_00956,,DUF2625 family protein,-,1037024,1037656
MIDG2331_RS04675,MIDG2331_00957,,DMT family transporter,-,1037684,1038136
MIDG2331_RS04680,MIDG2331_00958,hscB,Fe-S protein assembly co-chaperone HscB,-,1038184,1038705
MIDG2331_RS04685,MIDG2331_00959,iscA,iron-sulfur cluster assembly protein IscA,-,1038715,1039038
MIDG2331_RS04690,MIDG2331_00960,iscU,Fe-S cluster assembly scaffold IscU,-,1039184,1039567
MIDG2331_RS04695,MIDG2331_00961,,IscS subfamily cysteine desulfurase,-,1039701,1040927
MIDG2331_RS04700,MIDG2331_00962,,Rrf2 family transcriptional regulator,-,1040982,1041434
MIDG2331_RS04705,MIDG2331_00963,,outer membrane protein transport protein,+,1041924,1043315
MIDG2331_RS04710,MIDG2331_00964,,methylated-DNA--[protein]-cysteine S-methyltransferase,+,1043401,1043964
MIDG2331_RS04715,MIDG2331_00965,,ATP-binding protein,-,1043984,1045834
MIDG2331_RS04720,MIDG2331_00966,,membrane protein,-,1045940,1046803
MIDG2331_RS04725,MIDG2331_00967,smrB,endonuclease SmrB,-,1046919,1047461
MIDG2331_RS04730,MIDG2331_00968,bioD,dethiobiotin synthase,-,1047451,1048095
MIDG2331_RS04735,MIDG2331_00969,bioC,malonyl-ACP O-methyltransferase BioC,-,1048095,1048865
MIDG2331_RS04740,MIDG2331_00970,,DUF452 family protein,-,1048853,1049512
MIDG2331_RS04745,MIDG2331_00971,,8-amino-7-oxononanoate synthase,-,1049522,1050685
MIDG2331_RS04750,MIDG2331_00972,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,-,1050712,1052010
MIDG2331_RS04755,MIDG2331_00973,prmB,50S ribosomal protein L3 N(5)-glutamine methyltransferase,+,1052101,1053045
MIDG2331_RS04760,MIDG2331_00974,greA,transcription elongation factor GreA,-,1053126,1053602
MIDG2331_RS04765,MIDG2331_00975,dacB,serine-type D-Ala-D-Ala carboxypeptidase,+,1053686,1055128
MIDG2331_RS04770,MIDG2331_00976,,GNAT family N-acetyltransferase,-,1055165,1055434
MIDG2331_RS04775,MIDG2331_00977,,IS1595 family transposase,-,1055753,1056874
MIDG2331_RS04780,MIDG2331_00978,,hypothetical protein,-,1057286,1057585
MIDG2331_RS04785,MIDG2331_00979,,IS481 family transposase,+,1057705,1058745
MIDG2331_RS04790,MIDG2331_00980,,FRG domain-containing protein,-,1058784,1059818
MIDG2331_RS04795,MIDG2331_00981,,ImmA/IrrE family metallo-endopeptidase,-,1059811,1060374
MIDG2331_RS04800,MIDG2331_00982,,helix-turn-helix domain-containing protein,-,1060528,1060866
MIDG2331_RS04805,MIDG2331_00983,,IS1595 family transposase,+,1060950,1061984
MIDG2331_RS04810,MIDG2331_00984,,hypothetical protein,+,1061984,1062418
MIDG2331_RS04815,MIDG2331_00985,,hypothetical protein,-,1062419,1062832
MIDG2331_RS04820,MIDG2331_00986,,cysteine peptidase family C39 domain-containing protein,-,1062922,1063422
MIDG2331_RS04825,MIDG2331_00987,,RTX family hemolysin,-,1063487,1066357
MIDG2331_RS04830,MIDG2331_00988,apxIIC,RTX-II toxin-activating lysine-acyltransferase ApxIIC,-,1066396,1066878
MIDG2331_RS04845,MIDG2331_00991,ybeY,rRNA maturation RNase YbeY,-,1068953,1069444
MIDG2331_RS04850,MIDG2331_00992,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,+,1069867,1071456
MIDG2331_RS04855,MIDG2331_00993,,hypothetical protein,-,1071646,1072002
MIDG2331_RS04860,MIDG2331_00994,,hypothetical protein,-,1072016,1072321
MIDG2331_RS04865,MIDG2331_00995,,hypothetical protein,-,1072722,1073060
MIDG2331_RS04875,MIDG2331_00996,,hypothetical protein,-,1073439,1073738
MIDG2331_RS04890,MIDG2331_01000,,ShlB/FhaC/HecB family hemolysin secretion/activation protein,-,1081697,1083463
MIDG2331_RS04895,MIDG2331_01001,lptD,LPS assembly protein LptD,-,1083652,1085988
MIDG2331_RS04900,MIDG2331_01002,hemN,oxygen-independent coproporphyrinogen III oxidase,-,1086045,1087412
MIDG2331_RS04905,MIDG2331_01003,,DUF2489 domain-containing protein,-,1087442,1087909
MIDG2331_RS04910,MIDG2331_01004,yihI,Der GTPase-activating protein YihI,-,1087925,1088503
MIDG2331_RS04915,MIDG2331_01005,,putative transporter,-,1088652,1090310
MIDG2331_RS04920,MIDG2331_01006,gltS,sodium/glutamate symporter,+,1090573,1091790
MIDG2331_RS04925,MIDG2331_01007,,YacL family protein,-,1091860,1092237
MIDG2331_RS04930,MIDG2331_01008,glnE,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,-,1092334,1095213
MIDG2331_RS04935,MIDG2331_01009,,YciI family protein,-,1095288,1095569
MIDG2331_RS04940,MIDG2331_01010,yciA,acyl-CoA thioester hydrolase YciA,-,1095580,1096071
MIDG2331_RS04945,MIDG2331_01011,,septation protein A,-,1096058,1096609
MIDG2331_RS04950,MIDG2331_01012,,hypothetical protein,-,1096611,1097348
MIDG2331_RS04955,MIDG2331_01013,yfbV,terminus macrodomain insulation protein YfbV,+,1097507,1097941
MIDG2331_RS04960,MIDG2331_01014,ttcA,tRNA 2-thiocytidine(32) synthetase TtcA,+,1098109,1099065
MIDG2331_RS04965,MIDG2331_01015,,Na+/H+ antiporter family protein,+,1099272,1100648
MIDG2331_RS04970,MIDG2331_01016,xthA,exodeoxyribonuclease III,+,1100739,1101542
MIDG2331_RS04975,MIDG2331_01017,ilvY,HTH-type transcriptional activator IlvY,-,1101606,1102490
MIDG2331_RS04980,MIDG2331_01018,,glycosyltransferase family 9 protein,-,1102491,1103531
MIDG2331_RS04985,MIDG2331_01019,,glycosyltransferase family 25 protein,-,1103533,1104216
MIDG2331_RS04990,MIDG2331_01020,,heptosyltransferase,+,1104325,1105386
MIDG2331_RS04995,MIDG2331_01021,rpmE,50S ribosomal protein L31,-,1105448,1105660
MIDG2331_RS05000,MIDG2331_01022,tkt,transketolase,+,1106042,1108048
MIDG2331_RS05005,MIDG2331_01023,htpG,molecular chaperone HtpG,-,1108183,1110060
MIDG2331_RS05010,MIDG2331_01024,,catalase,+,1110285,1111811
MIDG2331_RS05020,MIDG2331_01026,,IS3 family transposase,+,1112148,1112516
MIDG2331_RS05025,MIDG2331_01027,,metallophosphoesterase,+,1112629,1113708
MIDG2331_RS05030,MIDG2331_01028,nrdA,class 1a ribonucleoside-diphosphate reductase subunit alpha,+,1113922,1116192
MIDG2331_RS05035,MIDG2331_01029,nrdB,class Ia ribonucleoside-diphosphate reductase subunit beta,+,1116456,1117586
MIDG2331_RS05040,MIDG2331_01030,galT,galactose-1-phosphate uridylyltransferase,+,1117848,1118897
MIDG2331_RS05045,MIDG2331_01031,galK,galactokinase,+,1118925,1120079
MIDG2331_RS05050,MIDG2331_01032,,galactose-1-epimerase,+,1120137,1121105
MIDG2331_RS05055,MIDG2331_01033,,glycoside hydrolase family 2 TIM barrel-domain containing protein,+,1121130,1124150
MIDG2331_RS05065,MIDG2331_01035,,hypothetical protein,-,1129020,1129556
MIDG2331_RS05070,MIDG2331_01036,,"IS256 family transposase, variant Zn-binding type",+,1129731,1130618
MIDG2331_RS05075,MIDG2331_01037,,calcium-binding protein,-,1131104,1136935
MIDG2331_RS05080,MIDG2331_01038,,hypothetical protein,-,1136961,1137431
MIDG2331_RS05085,MIDG2331_01039,apbC,iron-sulfur cluster carrier protein ApbC,-,1137628,1138725
MIDG2331_RS05090,MIDG2331_01040,,peptide ABC transporter substrate-binding protein,-,1138729,1140279
MIDG2331_RS05095,MIDG2331_01041,,YchE family NAAT transporter,-,1140294,1140947
MIDG2331_RS05100,MIDG2331_01042,,SurA N-terminal domain-containing protein,-,1141070,1142947
MIDG2331_RS05105,MIDG2331_01043,,cation:proton antiporter,+,1143176,1144489
MIDG2331_RS05110,MIDG2331_01045,rpsO,30S ribosomal protein S15,+,1144611,1144880
MIDG2331_RS05115,MIDG2331_01046,,DUF808 domain-containing protein,+,1144958,1145827
MIDG2331_RS05120,MIDG2331_01047,,heme biosynthesis protein HemY,-,1145884,1147134
MIDG2331_RS05125,MIDG2331_01048,,uroporphyrinogen-III C-methyltransferase,-,1147146,1148486
MIDG2331_RS05130,MIDG2331_01049,,uroporphyrinogen-III synthase,-,1148496,1149260
MIDG2331_RS05135,MIDG2331_01050,hemC,hydroxymethylbilane synthase,-,1149269,1150198
MIDG2331_RS05140,MIDG2331_01051,adhE,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,+,1150467,1153082
MIDG2331_RS05145,MIDG2331_01052,groL,chaperonin GroEL,-,1153256,1154899
MIDG2331_RS05150,MIDG2331_01053,,co-chaperone GroES,-,1154959,1155249
MIDG2331_RS05155,MIDG2331_01054,deoD,purine-nucleoside phosphorylase,-,1155461,1156183
MIDG2331_RS05160,MIDG2331_01055,deoC,deoxyribose-phosphate aldolase,-,1156242,1157018
MIDG2331_RS05165,MIDG2331_01056,,NupC/NupG family nucleoside CNT transporter,-,1157155,1158423
MIDG2331_RS05170,MIDG2331_01057,yczE,membrane protein YczE,+,1158636,1159280
MIDG2331_RS05175,MIDG2331_01058,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,-,1159332,1159973
MIDG2331_RS05180,MIDG2331_01059,,sugar kinase,-,1159988,1160932
MIDG2331_RS05185,MIDG2331_01060,,glucuronate isomerase,-,1160945,1161520
MIDG2331_RS05190,MIDG2331_01061,,glycoside hydrolase family 31 protein,+,1161538,1163769
MIDG2331_RS05195,MIDG2331_01062,,GntR family transcriptional regulator,+,1163773,1164009
MIDG2331_RS05200,MIDG2331_01063,,DMT family transporter,+,1163984,1164565
MIDG2331_RS05205,MIDG2331_01064,msrA,peptide-methionine (S)-S-oxide reductase MsrA,+,1164656,1165162
MIDG2331_RS05210,MIDG2331_01065,,glycosyltransferase family 2 protein,-,1165198,1165998
MIDG2331_RS05215,MIDG2331_01066,,glycosyltransferase family 2 protein,-,1165998,1166879
MIDG2331_RS05220,MIDG2331_01067,,hypothetical protein,-,1166872,1168071
MIDG2331_RS05225,MIDG2331_01068,,glycosyltransferase family 25 protein,-,1168072,1168842
MIDG2331_RS05230,MIDG2331_01069,,lipopolysaccharide biosynthesis protein,-,1168839,1170047
MIDG2331_RS05235,MIDG2331_01070,,polysaccharide pyruvyl transferase family protein,-,1170025,1170990
MIDG2331_RS05240,MIDG2331_01071,,YdcF family protein,+,1171146,1171886
MIDG2331_RS05245,MIDG2331_01072,priA,primosomal protein N',-,1171966,1174182
MIDG2331_RS05250,MIDG2331_01073,,chorismate mutase,-,1174267,1175424
MIDG2331_RS05255,MIDG2331_01074,prlC,oligopeptidase A,-,1175547,1177580
MIDG2331_RS05260,MIDG2331_01075,pflA,pyruvate formate lyase 1-activating protein,-,1177723,1178460
MIDG2331_RS05265,MIDG2331_01076,pflB,formate C-acetyltransferase,-,1178587,1180899
MIDG2331_RS05270,MIDG2331_01077,focA,formate transporter FocA,-,1180992,1181816
MIDG2331_RS05275,MIDG2331_01078,,YqaA family protein,+,1182022,1182504
MIDG2331_RS05280,MIDG2331_01079,htpX,protease HtpX,-,1182576,1183445
MIDG2331_RS05285,MIDG2331_01080,dinB,DNA polymerase IV,-,1183533,1184603
MIDG2331_RS05290,MIDG2331_01081,,LysO family transporter,+,1184710,1185618
MIDG2331_RS05295,MIDG2331_01082,,isochorismate synthase,-,1185657,1186937
MIDG2331_RS05300,MIDG2331_01083,,pyridoxal phosphate-dependent aminotransferase,+,1187101,1188318
MIDG2331_RS05305,MIDG2331_01084,rarD,EamA family transporter RarD,+,1188362,1189255
MIDG2331_RS05310,MIDG2331_01085,rarD,EamA family transporter RarD,+,1189256,1190122
MIDG2331_RS05315,MIDG2331_01086,,LysE family translocator,+,1190119,1190736
MIDG2331_RS05320,MIDG2331_01087,,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,-,1190817,1193663
MIDG2331_RS05325,MIDG2331_01088,hutZ,heme utilization protein HutZ,-,1193723,1194244
MIDG2331_RS05330,MIDG2331_01089,,TPR domain-containing protein,-,1194448,1195194
MIDG2331_RS05335,MIDG2331_01090,nrfF,heme lyase NrfEFG subunit NrfF,-,1195172,1195606
MIDG2331_RS05340,MIDG2331_01091,,redoxin family protein,-,1195606,1196139
MIDG2331_RS05345,MIDG2331_01092,nrfE,heme lyase NrfEFG subunit NrfE,-,1196141,1198057
MIDG2331_RS05350,MIDG2331_01093,,monovalent cation:proton antiporter-2 (CPA2) family protein,-,1198228,1200093
MIDG2331_RS05355,MIDG2331_01094,,class I adenylate cyclase,-,1200182,1202710
MIDG2331_RS05360,MIDG2331_01095,fabB,beta-ketoacyl-ACP synthase I,+,1202965,1204185
MIDG2331_RS05375,MIDG2331_01098,,YgiW/YdeI family stress tolerance OB fold protein,+,1205857,1206204
MIDG2331_RS05380,MIDG2331_01099,,NirD/YgiW/YdeI family stress tolerance protein,+,1206260,1206856
MIDG2331_RS05385,MIDG2331_01100,,YgiW/YdeI family stress tolerance OB fold protein,+,1206897,1207271
MIDG2331_RS05390,MIDG2331_01101,,response regulator,+,1207360,1208025
MIDG2331_RS05395,MIDG2331_01102,,ATP-binding protein,+,1208018,1209394
MIDG2331_RS05400,MIDG2331_01103,,YtfJ family protein,-,1209442,1210002
MIDG2331_RS05405,MIDG2331_01104,yajC,preprotein translocase subunit YajC,+,1210196,1210492
MIDG2331_RS05410,MIDG2331_01105,secD,protein translocase subunit SecD,+,1210519,1212366
MIDG2331_RS05415,MIDG2331_01106,secF,protein translocase subunit SecF,+,1212377,1213351
MIDG2331_RS05420,MIDG2331_01107,ftnA,non-heme ferritin,+,1213501,1214007
MIDG2331_RS05425,MIDG2331_01108,ftnA,non-heme ferritin,+,1214007,1214504
MIDG2331_RS05430,MIDG2331_01109,,NCS2 family permease,+,1214744,1216045
MIDG2331_RS05435,MIDG2331_01110,,Maf family protein,-,1216100,1216690
MIDG2331_RS05440,MIDG2331_01111,,carboxymuconolactone decarboxylase family protein,+,1216846,1217388
MIDG2331_RS05445,MIDG2331_01112,thiI,tRNA uracil 4-sulfurtransferase ThiI,-,1217484,1218932
MIDG2331_RS05450,MIDG2331_01113,purA,adenylosuccinate synthase,-,1219119,1220417
MIDG2331_RS05455,MIDG2331_01114,hflC,protease modulator HflC,-,1220604,1221491
MIDG2331_RS05460,MIDG2331_01115,hflK,FtsH protease activity modulator HflK,-,1221494,1222684
MIDG2331_RS05465,MIDG2331_01116,trxA,thioredoxin,-,1222862,1223179
MIDG2331_RS05470,MIDG2331_01117,,nucleobase:cation symporter-2 family protein,-,1223315,1224607
MIDG2331_RS05475,MIDG2331_01118,metK,methionine adenosyltransferase,-,1224769,1225920
MIDG2331_RS05480,MIDG2331_01119,,homocysteine S-methyltransferase family protein,+,1226140,1227033
MIDG2331_RS05485,MIDG2331_01120,,basic amino acid/polyamine antiporter,+,1227126,1228541
MIDG2331_RS05490,MIDG2331_01121,,basic amino acid/polyamine antiporter,+,1228637,1230037
MIDG2331_RS05495,MIDG2331_01122,,hypothetical protein,+,1230051,1230830
MIDG2331_RS05500,MIDG2331_01123,argE,acetylornithine deacetylase,+,1230847,1231989
MIDG2331_RS05505,MIDG2331_01124,,OmpW/AlkL family protein,-,1232196,1232840
MIDG2331_RS05510,MIDG2331_01125,clpB,ATP-dependent chaperone ClpB,+,1233101,1235674
MIDG2331_RS05515,MIDG2331_01126,arsB,ACR3 family arsenite efflux transporter,-,1235731,1236732
MIDG2331_RS05520,MIDG2331_01127,arsC,arsenate reductase (glutaredoxin),-,1236744,1237148
MIDG2331_RS05525,MIDG2331_01128,,ArsR/SmtB family transcription factor,-,1237208,1237522
MIDG2331_RS05530,MIDG2331_01129,aspA,aspartate ammonia-lyase,-,1237650,1239077
MIDG2331_RS05535,MIDG2331_01130,,DUF1294 domain-containing protein,-,1239218,1239499
MIDG2331_RS05540,MIDG2331_01131,purM,phosphoribosylformylglycinamidine cyclo-ligase,-,1239573,1240610
MIDG2331_RS05545,MIDG2331_01132,,family 20 glycosylhydrolase,+,1240825,1241958
MIDG2331_RS05550,MIDG2331_01133,queC,7-cyano-7-deazaguanine synthase QueC,+,1242106,1242774
MIDG2331_RS05555,MIDG2331_01134,queD,6-carboxytetrahydropterin synthase QueD,+,1242767,1243189
